threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.86,0.9268612847073595,0.9935064935064936,0.8983768821037621,0.9435499856837654,0.0125,0.10162311789623789,11060,140,2423,21420,0.9325171257834135,0.9528645596138082,0.923100679431748,0.9377465041233417,0.055945945945945944,0.07689932056825201,34930,2070,3486,41846
0.87,0.9250634934223668,0.9941310727094881,0.8951474227236506,0.9420462570621468,0.01125,0.10485257727634946,11074,126,2500,21343,0.9325778555118301,0.9561936652829064,0.9196814612194476,0.9375822248209326,0.05162162162162162,0.08031853878055237,35090,1910,3641,41691
0.88,0.9226664383757098,0.9946168609277724,0.8911630247871493,0.9400522054594523,0.010267857142857143,0.10883697521285073,11085,115,2595,21248,0.9322620609240635,0.9596910339723873,0.9154239830583253,0.937034988088921,0.04710810810810811,0.08457601694167476,35257,1743,3834,41498
0.89,0.9202979196986559,0.9952941176470588,0.8870528037579164,0.938061339897545,0.008928571428571428,0.11294719624208363,11100,100,2693,21150,0.9323713744352136,0.9639257046854582,0.91127680225889,0.9368621581167506,0.041783783783783786,0.08872319774111004,35454,1546,4022,41310
0.9,0.9175869645863654,0.9956947532762455,0.8826909365432203,0.9357936860827034,0.008125,0.11730906345677977,11109,91,2797,21046,0.9321891852499635,0.9678004001412264,0.9070193240977675,0.9364246102690823,0.03697297297297297,0.09298067590223241,35632,1368,4215,41117
0.91,0.9147333276260594,0.996098767781531,0.8781193641739714,0.9333957469573358,0.007321428571428572,0.12188063582602861,11118,82,2906,20937,0.9322013311956469,0.9725841734829751,0.9022985970175593,0.9361239529454846,0.031162162162162162,0.09770140298244066,35847,1153,4429,40903
0.92,0.9115372542305168,0.9964102809553439,0.8731283814956171,0.9307045779685265,0.006696428571428571,0.12687161850438283,11125,75,3025,20818,0.931800514988097,0.9764401046040162,0.8977984646607253,0.9354694126165056,0.02654054054054054,0.10220153533927469,36018,982,4633,40699
0.93,0.907770453442913,0.9966745385319774,0.8673405192299627,0.9275206315034087,0.006160714285714286,0.13265948077003734,11131,69,3163,20680,0.9304887528542972,0.9800043626845052,0.8919527044913086,0.9339076809368179,0.0222972972972973,0.10804729550869144,36175,825,4898,40434
0.94,0.9036612162200724,0.9971821406014673,0.860839659438829,0.9240084635123577,0.005178571428571428,0.139160340561171,11142,58,3318,20525,0.9292984501773308,0.9837410318568035,0.8862393011559163,0.932448271460236,0.017945945945945944,0.11376069884408364,36336,664,5157,40175
0.95,0.8984105242131096,0.9980356528998674,0.8523675711948999,0.9194679455277565,0.0035714285714285713,0.14763242880510002,11160,40,3520,20323,0.9272336394111645,0.9877023777056009,0.8787831995058678,0.9300647872526703,0.013405405405405406,0.12121680049413218,36504,496,5495,39837
0.96,0.8915903318779785,0.9984581716900428,0.8419661955290861,0.9135588978133746,0.0027678571428571427,0.1580338044709139,11169,31,3768,20075,0.9243550502842152,0.991527980290613,0.8700476484602488,0.926824109975326,0.009108108108108108,0.12995235153975118,36663,337,5891,39441
0.97,0.8853408669349085,0.9989932041278631,0.832319758419662,0.9080717488789237,0.0017857142857142857,0.16768024158033804,11180,20,3998,19845,0.9199946557838994,0.9948655069353973,0.8591282096532251,0.9220279596112644,0.005432432432432433,0.1408717903467749,36799,201,6386,38946
0.98,0.8756099649002654,0.9992824928249282,0.8177662206937046,0.8994579633260293,0.00125,0.18223377930629536,11186,14,4345,19498,0.9111766992178011,0.9966557805355977,0.8415026912556252,0.9125312473835923,0.0034594594594594594,0.15849730874437484,36872,128,7185,38147
0.99,0.8542362240675742,0.9996266467544935,0.7860588013253366,0.8800713749060857,0.000625,0.21394119867466344,11193,7,5101,18742,0.8909294077636885,0.9985462724230622,0.8030750904438366,0.8902066267269837,0.0014324324324324325,0.19692490955616343,36947,53,8927,36405
