threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.69,0.9586222640755643,0.9810939715550209,0.9576395587803548,0.9692248917565158,0.039285714285714285,0.042360441219645176,10760,440,1010,22833,0.9019943642812029,0.8690794556367742,0.9677931703873643,0.9157838706647323,0.17862162162162162,0.032206829612635664,30391,6609,1460,43872
0.7,0.9580515366835032,0.9818236636947064,0.9560457996057543,0.968763280917977,0.03767857142857143,0.04395420039424569,10778,422,1048,22795,0.9035976291114026,0.8721413928308421,0.966624018353481,0.9169552707297933,0.17362162162162162,0.03337598164651902,30576,6424,1513,43819
0.71,0.9570813001169991,0.9825463342981812,0.9538648659984063,0.9679931900404342,0.036071428571428574,0.04613513400159376,10796,404,1100,22743,0.9052737696157023,0.875202431173401,0.9656534015706344,0.9182057494048181,0.1687027027027027,0.03434659842936557,30758,6242,1557,43775
0.72,0.9562252090289074,0.9832762878558121,0.9518516965147004,0.9673088398261018,0.03446428571428571,0.04814830348529967,10814,386,1148,22695,0.9065733858038186,0.8781242465643334,0.9641312979793524,0.9191201211305519,0.16394594594594594,0.035868702020647666,30934,6066,1626,43706
0.73,0.9549696087663727,0.9837483161691218,0.9495029987837101,0.9663223493255934,0.03339285714285714,0.050497001216289895,10826,374,1204,22639,0.9079215857746684,0.8809615112923083,0.9628739080561193,0.9200982303776389,0.1594054054054054,0.0371260919438807,31102,5898,1683,43649
0.74,0.9542561995262963,0.9843627493684118,0.9478253575472885,0.9657485951154889,0.03205357142857143,0.05217464245271149,10841,359,1244,22599,0.9093548073653015,0.8842929918207465,0.9611312097414629,0.9211124382947686,0.1540810810810811,0.03886879025853702,31299,5701,1762,43570
0.75,0.9532288902205861,0.9849729163026385,0.945686364970851,0.9649299240397988,0.030714285714285715,0.054313635029149016,10856,344,1295,22548,0.9110309478696011,0.8878027875844337,0.9596973440395306,0.9223511952085652,0.1485945945945946,0.040302655960469426,31502,5498,1827,43505
0.76,0.952686699198128,0.9855123210924848,0.9443442519817137,0.9644891839794388,0.02955357142857143,0.05565574801828629,10869,331,1327,22516,0.9124520235145508,0.8909191583610189,0.9583296567546105,0.9233957531829873,0.14375675675675675,0.04167034324538957,31681,5319,1889,43443
0.77,0.9517735353708301,0.9864728358733366,0.942037495281634,0.9637432420835836,0.0275,0.057962504718365976,10892,308,1382,22461,0.9142010396929505,0.8946131001484904,0.956895791052678,0.9247068855254743,0.1381081081081081,0.04310420894732198,31890,5110,1954,43378
0.78,0.9510030533915476,0.9872709654686399,0.9401082078597492,0.9631125529035168,0.02580357142857143,0.05989179214025081,10911,289,1428,22415,0.9153549045328669,0.897601724602533,0.9552413306273714,0.9255249799625969,0.1335135135135135,0.04475866937262861,32060,4940,2029,43303
0.79,0.9501754986730588,0.9879863963605848,0.9381789204378643,0.9624386885810171,0.024285714285714285,0.06182107956213564,10928,272,1474,22369,0.9167395423407666,0.9011279998331978,0.9533883349510279,0.9265218183572187,0.12816216216216217,0.04661166504897203,32258,4742,2113,43219
0.8,0.9488913620409212,0.9886111849685367,0.9356624585832319,0.9614083475188002,0.022946428571428572,0.06433754141676802,10943,257,1534,22309,0.9184278287907497,0.9049496644295302,0.9518221124150711,0.9277942631058358,0.12248648648648648,0.04817788758492897,32468,4532,2184,43148
